Index,LT,Age,Country,Locality,Site,Date,GPS Latitude N,GPS Longitude E,End-Start (Intercept),Genus,Species,AphiaID,Depth [m],ReefZone
113,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,6,NA,NA,NA,1,Reef edge
114,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,3,NA,NA,NA,1,Reef edge
115,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,28,NA,NA,NA,1,Reef edge
116,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,3,NA,NA,NA,1,Reef edge
117,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,3,NA,NA,NA,1,Reef edge
118,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,9,NA,NA,NA,1,Reef edge
119,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,35,NA,NA,NA,1,Reef edge
120,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,11,NA,NA,NA,1,Reef edge
121,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,31,NA,NA,NA,1,Reef edge
122,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,6,NA,NA,NA,1,Reef edge
123,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,35,NA,NA,NA,1,Reef edge
124,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,7,NA,NA,NA,1,Reef edge
125,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,16,NA,NA,NA,1,Reef edge
126,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,10,NA,NA,NA,1,Reef edge
127,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,12,NA,NA,NA,1,Reef edge
128,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,30,NA,NA,NA,1,Reef edge
129,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,8,NA,NA,NA,1,Reef edge
130,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,18,NA,NA,NA,1,Reef edge
131,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,8,Pocillopora,verrucosa,206954,1,Reef edge
132,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,3,Pocillopora,verrucosa,206954,1,Reef edge
133,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,3,Pocillopora,verrucosa,206954,1,Reef edge
134,A3A4,Modern,Egypt,El Quseir,Mangrove Bay,23/10/2023,25.87015,34.41968333,19,Pocillopora,verrucosa,206954,1,Reef edge
