"Index","LT","Age","Country","Locality","Site","Date","GPS Latitude N","GPS Longitude E","End-Start (Intercept)","Genus","Species","AphiaID","Depth [m]","ReefZone","Category"
115,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,28,NA,NA,NA,1,"Reef edge",NA
116,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
116,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
117,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
117,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,3,NA,NA,NA,1,"Reef edge",NA
118,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,9,NA,NA,NA,1,"Reef edge",NA
119,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,35,NA,NA,NA,1,"Reef edge",NA
120,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,11,NA,NA,NA,1,"Reef edge",NA
121,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,31,NA,NA,NA,1,"Reef edge",NA
121,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,31,NA,NA,NA,1,"Reef edge",NA
122,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,6,NA,NA,NA,1,"Reef edge",NA
123,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,35,NA,NA,NA,1,"Reef edge",NA
124,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,7,NA,NA,NA,1,"Reef edge",NA
125,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,16,NA,NA,NA,1,"Reef edge",NA
125,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,16,NA,NA,NA,1,"Reef edge",NA
126,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
126,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
126,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,10,NA,NA,NA,1,"Reef edge",NA
127,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,12,NA,NA,NA,1,"Reef edge",NA
128,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,30,NA,NA,NA,1,"Reef edge",NA
128,"A3A4","Modern","Egypt","El Quseir","Mangrove Bay","23/10/2023",25.87015,34.41968333,30,NA,NA,NA,1,"Reef edge",NA
